Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,12,C,5,159,1263.091855,167.43718,98.53312,1529.062155,3.908161388,4.509416986,0.294310406,0.041793779
1,12,C,5,160,1787.240295,1597.714855,363.097375,3748.052525,10.40528316,12.00609596,0.951539573,0.106433853
1,12,C,5,161,1200.880255,191.15928,,1392.039535,3.527277246,4.069935284,0.260280223,0.037896676
1,12,C,5,162,794.32902,,,794.32902,1.911277826,2.205320568,0.124896583,0.021113996
1,12,C,5,163,1486.362375,128.69632,149.59062,1764.649315,4.570289068,5.273410463,0.355023029,0.048528409
1,12,C,5,164,387.12582,,,387.12582,0.871757029,1.005873495,0.04875407,0.009979864
1,12,C,5,165,1809.792,908.038,353.03512,3070.86512,8.370078561,9.657782955,0.733089255,0.086466533
1,12,C,5,166,208.699495,,,208.699495,0.443940353,0.512238869,0.021717989,0.005240383
1,12,C,5,167,1063.75552,151.766455,95.0455,1310.567475,3.302421426,3.810486261,0.240525341,0.035587145
2,1,D,5,30,804.352,115.005055,,919.357055,2.242130105,2.587073198,0.151230063,0.024590006
2,1,D,5,31,1075.3495,1046.482375,735.51078,2857.342655,7.736515556,8.926748718,0.66710391,0.080207747
2,1,D,5,32,356.373495,91.62072,26.42422,474.418435,1.088546547,1.256015246,0.063619498,0.012336616
2,1,D,5,33,522.86022,289.56672,124.70598,937.13292,2.289520923,2.641754911,0.155068433,0.025085914
2,1,D,5,34,638.022375,415.5295,41.859295,1095.41117,2.714998113,3.13269013,0.190207917,0.029518423
2,1,D,5,35,1506.93462,102.08358,46.572295,1655.590495,4.262689864,4.918488305,0.326584511,0.045405694
2,1,D,5,36,989.926375,268.837375,,1258.76375,3.160111728,3.646282763,0.228158683,0.034121793
2,1,D,5,37,855.4095,188.716375,,1044.125875,2.576470796,2.972850919,0.178637954,0.028079006
2,1,D,5,38,1333.33912,118.838295,41.859295,1494.03671,3.810489155,4.396718256,0.285518349,0.040796138
2,1,D,5,39,1339.819495,1307.57472,179.101855,2826.49607,7.645340625,8.821546875,0.657694005,0.079305181
2,1,D,5,40,292.590895,,,292.590895,0.642086304,0.740868812,0.033796532,0.007453384
2,1,D,5,41,1104.609375,132.7495,81.72342,1319.082295,3.325862665,3.837533844,0.242572658,0.03582824
2,1,D,5,42,1855.31958,585.425295,176.7375,2617.482375,7.030010951,8.111551097,0.59477988,0.073200763
2,1,D,5,43,620.238655,181.48192,,801.720575,1.930711151,2.227743636,0.126419869,0.021318881
2,1,D,5,44,902.704455,897.38662,860.601655,2660.69273,7.156861103,8.257916658,0.607663414,0.074461108
2,1,D,5,45,669.74872,390.621295,,1060.370015,2.620281595,3.023401841,0.182284059,0.028534609
2,1,D,5,46,73.907695,23.761375,,97.66907,0.193711768,0.223513578,0.008039407,0.002374383
2,1,D,5,47,2525.296095,251.682055,63.6255,2840.60365,7.687027843,8.869647512,0.661993678,0.079717915
2,1,D,5,48,535.090455,774.47158,268.837375,1578.39941,4.046093004,4.668568851,0.306800658,0.043200716
2,1,D,5,49,70.891375,,,70.891375,0.136509056,0.157510449,0.005285507,0.001700038
2,1,D,5,50,829.684375,206.14662,172.05592,1207.886915,3.020872889,3.485622564,0.216165303,0.032685158
2,1,D,5,51,2341.70118,193.617895,46.572295,2581.89137,6.925673262,7.991161456,0.584217289,0.072163322
2,1,D,5,52,829.684375,88.25878,,917.943155,2.238364223,2.58272795,0.150925735,0.024550579
2,1,D,5,53,1932.45568,1098.72598,298.686375,3329.868035,9.144040612,10.55081609,0.81504668,0.094083271
2,1,D,5,54,3097.88632,2341.70118,124.70598,5564.29348,16.02065193,18.48536762,1.595962345,0.160692087
2,1,D,5,55,1705.76038,814.43782,246.089295,2766.287495,7.467643866,8.616512153,0.639418503,0.077544703
2,1,D,5,58,1445.642055,330.106375,257.337655,2033.086085,5.334713271,6.15543839,0.427311189,0.056248792
2,1,D,5,59,323.696695,,,323.696695,0.716995394,0.827302377,0.03857438,0.008281331
2,1,D,5,60,1098.72598,510.771375,124.70598,1734.203335,4.484235277,5.174117628,0.347027665,0.04765579
2,1,D,5,61,1438.91032,169.738695,,1608.649015,4.130859095,4.766375879,0.314518751,0.044064266
2,1,D,5,62,839.927295,,,839.927295,2.031421905,2.343948352,0.13436233,0.022379191
2,1,D,5,63,1555.486375,892.084495,84.95968,2532.53055,6.781188049,7.824447749,0.569642492,0.070725515
2,1,D,5,64,892.084495,510.771375,,1402.85587,3.557222328,4.104487301,0.262930326,0.038203733
2,1,D,5,65,254.502,191.15928,,445.66128,1.016685214,1.173098324,0.058620243,0.011557995
2,1,D,5,66,892.084495,156.165255,,1048.24975,2.587587064,2.985677382,0.179561938,0.028194641
2,1,D,5,67,1465.93152,437.49208,,1903.4236,4.964230865,5.72795869,0.391999932,0.052513825
2,1,D,5,68,1506.93462,263.056095,,1769.990715,4.585400411,5.290846628,0.356430143,0.048681567
2,1,D,5,69,1438.91032,463.829895,,1902.740215,4.962284264,5.725712612,0.391815743,0.052494168
2,1,D,5,70,620.238655,,,620.238655,1.458734,1.683154615,0.09035059,0.016313676
2,1,D,5,71,1164.307375,498.82392,138.947095,1802.07839,4.676267691,5.39569349,0.36491069,0.049602051
2,1,D,5,72,1713.089095,169.738695,,1882.82779,4.905592728,5.660299301,0.386457828,0.051921535
2,1,D,5,73,1569.499695,,,1569.499695,4.021182408,4.639825855,0.304538568,0.042946785
2,1,D,5,74,363.097375,126.693295,,489.79067,1.127126937,1.300531082,0.066330878,0.012753663
2,1,D,5,75,1170.36358,433.792375,343.114255,1947.27021,5.089260364,5.872223497,0.403860178,0.053775663
2,1,D,5,76,1493.20408,227.0095,,1720.21358,4.444740586,5.128546831,0.343368304,0.047255045
2,1,D,5,77,349.712455,81.72342,,431.435875,0.981293418,1.132261637,0.056183448,0.011173614
2,1,D,5,78,745.15672,274.681495,83.333695,1103.17191,2.736013587,3.156938754,0.191973556,0.029736496
2,1,D,5,79,1069.544655,,,1069.544655,2.645053219,3.051984484,0.18435102,0.028792063
2,1,D,5,80,3452.814495,,,3452.814495,9.513409076,10.97701047,0.854655595,0.097707842
2,1,D,5,81,1749.96832,145.28608,,1895.2544,4.940965377,5.701113896,0.389799464,0.052278864
2,1,D,5,82,1772.284375,118.838295,,1891.12267,4.929201926,5.687540684,0.388687648,0.052160045
2,1,D,5,83,2091.44088,1081.170055,897.38662,4069.997555,11.38523715,13.13681209,1.059904698,0.115982604
2,1,D,5,86,463.829895,243.31648,,707.146375,1.683361658,1.942340374,0.10726741,0.018703738
2,1,D,5,87,1398.84982,75.43942,,1474.28924,3.755513891,4.333285259,0.28058925,0.040234102
2,1,D,5,88,471.496375,23.761375,,495.25775,1.140875034,1.31639427,0.067301567,0.01290212
2,1,D,5,89,1256.8,10.18008,,1266.98008,3.182647304,3.672285351,0.230109788,0.034354037
2,1,D,5,90,839.927295,624.66102,376.733655,1841.32197,4.787602101,5.524156271,0.375346001,0.050728761
2,1,D,5,91,839.927295,36.32152,26.42422,902.673035,2.197726935,2.535838771,0.14764824,0.02412493
2,1,D,5,92,647.008495,227.0095,,874.017995,2.121641028,2.44804734,0.141544129,0.023327013
2,1,D,5,93,1742.561055,45.37048,,1787.931535,4.636187463,5.349447073,0.361165978,0.04919614
2,1,D,5,94,1075.3495,138.947095,,1214.296595,3.038385494,3.505829416,0.217667838,0.032866012
2,1,D,5,95,1527.648255,349.712455,38.4895,1915.85021,4.999638897,5.768814112,0.395352777,0.052871319
2,1,D,5,96,669.74872,602.706295,107.527095,1379.98211,3.493921484,4.031447866,0.257333529,0.037554507
2,1,D,5,97,437.49208,,,437.49208,0.996347877,1.149632165,0.057217883,0.011337193
2,1,D,5,98,1176.435495,824.58648,203.609455,2204.63143,5.828206428,6.724853571,0.475103408,0.061205733
2,1,D,5,99,248.87782,,,248.87782,0.538070861,0.620850993,0.027346184,0.006296297
2,1,D,5,100,2123.992,620.238655,198.582255,2942.81291,7.989616274,9.218788009,0.693340478,0.082710746
2,1,D,5,101,130.715055,,,130.715055,0.266314114,0.307285516,0.011772724,0.003217445
2,1,D,5,102,881.527375,40.72032,,922.247695,2.249830901,2.595958732,0.151852696,0.024670621
2,1,D,5,103,1832.485095,721.159695,8.554095,2562.198885,6.868000116,7.924615518,0.578392267,0.071589568
